Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,Release Year,Recession data,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Shakespeare in Love,100317794,279500000,,26000000,11/12/1998,1998,0,R,122,Miramax,Original Screenplay,Romantic Comedy,Historical Fiction,John Madden,93,7.4,77911
Star Trek: Insurrection,70187658,117800000,,70000000,11/12/1998,1998,0,PG,100,Paramount Pictures,Based on TV,Adventure,Science Fiction,Jonathan Frakes,,6.4,26559
The Prince of Egypt,101413188,218600000,,60000000,18/12/1998,1998,0,PG,97,Dreamworks SKG,Based on Book/Short Story,Adventure,Dramatization,Steve Hickner,79,6.8,24569
You've Got Mail,115821495,250800000,,65000000,18/12/1998,1998,0,PG,119,Warner Bros.,Based on Play,Drama,Contemporary Fiction,Nora Ephron,68,6.2,52587
The Thin Red Line,36400491,36400491,,52000000,23/12/1998,1998,0,R,166,20th Century Fox,Based on Book/Short Story,Drama,Dramatization,Terrence Malick,78,7.5,60966
The Swindle,245359,5045359,,10000000,25/12/1998,1998,0,,,New Yorker,,Comedy,,,,5.2,1417
A Civil Action,56709981,56709981,,60000000,25/12/1998,1998,0,PG-13,112,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Steven Zaillian,61,6.4,14244
The Faculty,40283321,40283321,,15000000,25/12/1998,1998,0,R,102,Miramax,Original Screenplay,Horror,Contemporary Fiction,Robert Rodriguez,51,6.3,36139
Mighty Joe Young,50632037,50632037,,80000000,25/12/1998,1998,0,PG,114,Walt Disney Pictures,Remake,Adventure,Science Fiction,,52,5.4,9187
Patch Adams,135041968,202200000,,50000000,25/12/1998,1998,0,PG-13,110,Universal,Based on Real Life Events,Comedy,Contemporary Fiction,Tom Shadyac,24,6.3,31481
Stepmom,91137662,119709917,,50000000,25/12/1998,1998,0,PG-13,127,Sony/TriStar,Original Screenplay,Drama,Contemporary Fiction,Chris Columbus,43,6.2,18505
Sticky Fingers of Time,18195,20628,,250000,08/01/1999,1999,0,,,Strand,,Thriller/Suspense,,,,,
Mississippi Mermaid,24551,2624551,,1600000,15/01/1999,1999,0,,,MGM,,,,,,,
At First Sight,22365133,22365133,,40000000,15/01/1999,1999,0,PG-13,128,MGM,Original Screenplay,Drama,Contemporary Fiction,,33,5.6,6872
In Dreams,12017369,12017369,,30000000,15/01/1999,1999,0,R,,Dreamworks SKG,Based on Book/Short Story,Horror,Contemporary Fiction,Neil Jordan,22,5.3,7138
Virus,14010690,30626690,,75000000,15/01/1999,1999,0,R,,Universal,Based on Comic/Graphic Novel,Action,Science Fiction,,9,4.5,10487
Varsity Blues,52894169,54294169,,16000000,15/01/1999,1999,0,R,104,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Brian Robbins,39,6,18066
Bacheha-Ye aseman,925402,925402,,180000,22/01/1999,1999,0,PG,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,,,8,6657
Gloria,4167493,4967493,,30000000,22/01/1999,1999,0,R,,Sony Pictures,Remake,Drama,Contemporary Fiction,Sidney Lumet,19,4.7,2726
She's All That,63465522,63465522,,10000000,29/01/1999,1999,0,PG-13,91,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,,38,5.4,28498
Payback,81526121,161626121,,50000000,05/02/1999,1999,0,R,110,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,,51,5.8,304
Simply Irresistible,4398989,4398989,,6000000,05/02/1999,1999,0,PG-13,,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,,14,4.8,6927
Tango,1687311,1687311,,4500000,12/02/1999,1999,0,PG-13,,Sony Pictures Classics,Original Screenplay,Drama,Historical Fiction,,,6.9,1490
Blast from the Past,26613620,26613620,,35000000,12/02/1999,1999,0,PG-13,111,New Line,Original Screenplay,Comedy,Contemporary Fiction,Hugh Wilson,60,6.4,23243
Message in a Bottle,52880016,52880016,,30000000,12/02/1999,1999,0,PG-13,132,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,,31,5.6,13108
My Favorite Martian,36850101,36850101,,60000000,12/02/1999,1999,0,PG,93,Walt Disney Pictures,Based on TV,Comedy,Science Fiction,Donald Petrie,13,4.5,4918
Jawbreaker,3076820,3076820,,3000000,19/02/1999,1999,0,R,,Sony Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,,7,4.8,9329
Office Space,10827813,12827813,,10000000,19/02/1999,1999,0,R,,Miramax,Based on Short Film,Black Comedy,Contemporary Fiction,Mike Judge,80,7.9,80972
20 Dates,541636,541636,,66000,26/02/1999,1999,0,R,,Fox Searchlight,Original Screenplay,Comedy,,,,4.9,1423
8MM,36443442,96398826,,40000000,26/02/1999,1999,0,R,119,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joel Schumacher,22,6.3,47753
200 Cigarettes,6852450,6852450,,6000000,26/02/1999,1999,0,R,,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,30,5.4,8645
Analyze This,106885658,176885658,,30000000,05/03/1999,1999,0,R,103,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Harold Ramis,68,6.6,52894
Cruel Intentions,38230075,75803716,,11000000,05/03/1999,1999,0,R,95,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Roger Kumble,47,6.7,66861
"Lock, Stock and Two Smoking Barrels",3897569,25297569,,1350000,05/03/1999,1999,0,R,,Gramercy,Original Screenplay,Black Comedy,Contemporary Fiction,Guy Ritchie,,,
Baby Geniuses,27151490,27151490,,13000000,12/03/1999,1999,0,PG,94,Sony Pictures,Original Screenplay,Comedy,Kids Fiction,,2,2.2,9038
The Rage: Carrie 2,17760244,17760244,,21000000,12/03/1999,1999,0,R,101,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,,16,4.3,7235
The Corruptor,15164492,15164492,,10000000,12/03/1999,1999,0,R,110,New Line,Original Screenplay,Action,Contemporary Fiction,James Foley,48,5.8,9008
The Deep End of the Ocean,13508635,13508635,,40000000,12/03/1999,1999,0,PG-13,,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,,42,6,5790
Wing Commander,11578022,11578022,,30000000,12/03/1999,1999,0,PG-13,,20th Century Fox,Based on Game,Action,Science Fiction,,11,3.7,9460
Sparkler,5494,5494,,1000000,19/03/1999,1999,0,R,,Strand,,,,,17,5.5,320
Ravenous,2062406,2062406,,12000000,19/03/1999,1999,0,R,,20th Century Fox,Original Screenplay,Horror,Historical Fiction,,39,6.9,15804
Among Giants,64359,64359,,4000000,26/03/1999,1999,0,R,,Fox Searchlight,Original Screenplay,Romantic Comedy,,,,5.7,546
A Walk on the Moon,4741987,4741987,,14000000,26/03/1999,1999,0,R,,Miramax,Original Screenplay,Drama,Historical Fiction,Tony Goldwyn,74,6.4,4125
Doug's 1st Movie,19421271,19421271,,5000000,26/03/1999,1999,0,G,77,Walt Disney Pictures,Based on TV,Adventure,Kids Fiction,,,4.8,920
EDtv,22508689,35319689,,60000000,26/03/1999,1999,0,PG-13,122,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ron Howard,62,6,21734
Ten Things I Hate About You,38177966,38177966,,13000000,31/03/1999,1999,0,PG-13,97,Walt Disney Pictures,Based on Play,Romantic Comedy,Contemporary Fiction,,,6.9,61910
The Matrix,171479930,460279930,,65000000,31/03/1999,1999,0,R,136,Warner Bros.,Original Screenplay,Action,Science Fiction,Andy Wachowski,86,8.7,380934
The Out-of-Towners,28544120,28544120,,40000000,02/04/1999,1999,0,PG-13,92,Paramount Pictures,Remake,Comedy,Contemporary Fiction,,24,4.9,6338
Following,44705,44705,,6000,04/04/1999,1999,0,R,,Zeitgeist,,,,Christopher Nolan,,7.7,15133
Foolish,6026908,6026908,,1600000,09/04/1999,1999,0,R,,Artisan,Original Screenplay,Comedy,Contemporary Fiction,,,3.8,353
Go!,16875273,28383441,,6500000,09/04/1999,1999,0,R,103,Sony Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,Doug Liman,92,,
Life,64062587,73521587,,75000000,16/04/1999,1999,0,R,108,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ted Demme,50,5.3,99
Election,14943582,14943582,,8500000,23/04/1999,1999,0,R,103,Paramount Pictures,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Alexander Payne,92,7.4,37454
eXistenZ,2840417,2840417,,20700000,23/04/1999,1999,0,R,,Miramax,Original Screenplay,Thriller/Suspense,Science Fiction,David Cronenberg,71,6.8,35788
Lost and Found,6552255,6552255,,14000000,23/04/1999,1999,0,PG-13,,Warner Bros.,Original Screenplay,Romantic Comedy,Contemporary Fiction,,13,4.8,118
Pushing Tin,8408835,8408835,,33000000,23/04/1999,1999,0,R,,20th Century Fox,Based on Magazine Article,Comedy,Contemporary Fiction,Mike Newell,49,5.9,16160
Get Real,1152411,1152411,,2000000,30/04/1999,1999,0,R,,Paramount Pictures,Based on Play,Comedy,Contemporary Fiction,,,7.5,6026
Entrapment,87707396,211700000,,66000000,30/04/1999,1999,0,PG-13,112,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Amiel,38,6.1,40764
Idle Hands,4023741,4023741,,15000000,30/04/1999,1999,0,R,,Sony Pictures,Original Screenplay,Horror,Contemporary Fiction,,15,5.8,16157
The Mummy,155385488,416385488,,80000000,07/05/1999,1999,0,PG-13,124,Universal,Remake,Adventure,Fantasy,Stephen Sommers,54,6.8,95658
Trippin',9017070,9017070,,3000000,12/05/1999,1999,0,R,,October Films,Original Screenplay,Comedy,Contemporary Fiction,,8,4.6,673
Tea with Mussolini,14395874,14395874,,14000000,14/05/1999,1999,0,PG,116,MGM,Based on Real Life Events,Drama,Dramatization,Franco Zeffirelli,67,6.7,5435
Star Wars Ep. I: The Phantom Menace,431088297,924288297,,115000000,19/05/1999,1999,0,PG,133,20th Century Fox,Original Screenplay,Adventure,Science Fiction,George Lucas,,,
Trekkies,617172,617172,,375000,21/05/1999,1999,0,PG,,Paramount Pictures,Based on Real Life Events,Documentary,Factual,,,6.9,3004
The Love Letter,8322608,8322608,,15000000,21/05/1999,1999,0,PG-13,,Dreamworks SKG,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,,33,5.1,2446
The Loss of Sexual Innocence,399793,399793,,4000000,28/05/1999,1999,0,,,Sony Pictures,,,,Mike Figgis,45,4.9,2263
Notting Hill,116089678,363728226,,42000000,28/05/1999,1999,0,PG-13,123,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,,82,6.9,66362
The Thirteenth Floor,11810854,11810854,,16000000,28/05/1999,1999,0,R,,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Science Fiction,,28,6.7,19939
Desert Blue,99147,99147,,5000000,04/06/1999,1999,0,R,,Goldwyn Entertainment,,,,,,6,1412
Instinct,34105207,34105207,,55000000,04/06/1999,1999,0,R,123,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Jon Turteltaub,27,6.2,15388
Limbo,2016687,2016687,,8300000,04/06/1999,1999,0,R,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,John Sayles,,6.9,3855
Austin Powers: The Spy Who Shagged Me,206040085,309600000,,35000000,10/06/1999,1999,0,PG-13,95,New Line,Original Screenplay,Comedy,Historical Fiction,Jay Roach,,6.6,81005
Le Violon rouge,10019109,10019109,,10000000,11/06/1999,1999,0,R,,Lionsgate,Original Screenplay,Drama,Historical Fiction,,,7.7,14545
Tarzan,171091819,448191819,,145000000,16/06/1999,1999,0,G,88,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Kevin Lima,88,6.9,26871
Run Lola Run,7267324,14533173,,1750000,18/06/1999,1999,0,R,,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Tom Tykwer,,6,91
The General's Daughter,102705852,149705852,,60000000,18/06/1999,1999,0,R,116,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Simon West,22,6.1,23570
An Ideal Husband,18542974,18542974,,10700000,18/06/1999,1999,0,PG-13,97,Miramax,Based on Play,Comedy,Historical Fiction,,86,6.7,8078
Big Daddy,163479795,234779795,,30000000,25/06/1999,1999,0,PG-13,95,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,40,4.7,48
"South Park: Bigger, Longer & Uncut",52037603,52037603,,21000000,30/06/1999,1999,0,R,80,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,Trey Parker,80,,
Wild Wild West,113805681,222105681,,175000000,30/06/1999,1999,0,PG-13,107,Warner Bros.,Based on TV,Adventure,Historical Fiction,Barry Sonnenfeld,21,4.3,54183
Broken Vessels,15030,85343,,600000,02/07/1999,1999,0,R,,,Original Screenplay,Drama,,,,6.4,399
Summer of Sam,19288130,19288130,,22000000,02/07/1999,1999,0,R,142,Walt Disney Pictures,Based on Real Life Events,Drama,Historical Fiction,Spike Lee,50,6.5,18431
American Pie,101800948,234800000,,12000000,09/07/1999,1999,0,R,95,Universal,Original Screenplay,Comedy,Contemporary Fiction,Paul Weitz,59,6.9,106624
Arlington Road,24419219,24419219,,21500000,09/07/1999,1999,0,R,117,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,60,7.2,36051
The Blair Witch Project,140539099,248300000,,600000,14/07/1999,1999,0,R,87,Artisan,Original Screenplay,Horror,Contemporary Fiction,,85,6.2,87629
Muppets From Space,16304786,16304786,,24000000,14/07/1999,1999,0,G,88,Sony Pictures,Based on TV,Comedy,Kids Fiction,Tim Hill,62,6.1,5945
Eyes Wide Shut,55691208,86257553,,65000000,16/07/1999,1999,0,R,159,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Stanley Kubrick,78,7.2,93880
Lake Placid,31770413,31770413,,27000000,16/07/1999,1999,0,R,82,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Steve Miner,38,5.3,19382
The Velocity of Gary,34145,34145,,4000000,16/07/1999,1999,0,R,,Sony Pictures,,,,,,,
The Wood,25059640,25059640,,6000000,16/07/1999,1999,0,R,106,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,61,6.1,3224
Drop Dead Gorgeous,10571408,10571408,,10000000,23/07/1999,1999,0,PG-13,,New Line,Original Screenplay,Comedy,Contemporary Fiction,,45,6.2,16344
The Haunting,91188905,180188905,,80000000,23/07/1999,1999,0,PG-13,114,Dreamworks SKG,Based on Book/Short Story,Horror,Contemporary Fiction,Jan De Bont,17,4.6,31808
Inspector Gadget,97387965,97387965,,75000000,23/07/1999,1999,0,PG,77,Walt Disney Pictures,Based on TV,Comedy,Kids Fiction,,21,3.9,13881
Deep Blue Sea,73648228,165048228,,60000000,28/07/1999,1999,0,R,105,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,57,5.6,44191
Twin Falls Idaho,985341,1027228,,500000,30/07/1999,1999,0,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Michael Polish,77,7.1,2810
Runaway Bride,152257509,308007919,,70000000,30/07/1999,1999,0,PG,116,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Garry Marshall,45,5.2,28497
The Gambler,51773,101773,,3000000,04/08/1999,1999,0,R,,,,Drama,,,,6.1,199
Dick,6276869,6276869,,13000000,04/08/1999,1999,0,PG-13,,Sony Pictures,Original Screenplay,Comedy,Historical Fiction,Andrew Fleming,70,6.1,10451
The Iron Giant,23159305,31333917,,50000000,04/08/1999,1999,0,PG,86,Warner Bros.,Based on Book/Short Story,Adventure,Kids Fiction,Brad Bird,97,7.9,38791
Illuminata,836641,836641,,10000000,06/08/1999,1999,0,R,,Artisan,Based on Play,Drama,Historical Fiction,,,6.1,1100
The Mystery Men,29762011,29762011,,68000000,06/08/1999,1999,0,PG,120,Universal,Based on Comic/Graphic Novel,Comedy,Super Hero,,,,
The Sixth Sense,293506292,672806292,,40000000,06/08/1999,1999,0,PG-13,107,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,M. Night Shyamalan,85,8.2,238745
The Thomas Crown Affair,69304264,124304264,,48000000,06/08/1999,1999,0,R,111,MGM,Remake,Drama,Contemporary Fiction,John McTiernan,67,6.7,37692
Bowfinger,66458769,98699769,,55000000,13/08/1999,1999,0,PG-13,96,Universal,Original Screenplay,Comedy,Contemporary Fiction,Frank Oz,79,6.4,33389
Detroit Rock City,4217115,4217115,,16000000,13/08/1999,1999,0,R,,New Line,Original Screenplay,Comedy,Historical Fiction,,47,6.4,15092
Mickey Blue Eyes,33864342,53864342,,40000000,20/08/1999,1999,0,PG-13,103,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,44,5.7,16646
Universal Soldier II: The Return,10447421,10717421,,40000000,20/08/1999,1999,0,R,,Sony Pictures,Original Screenplay,Action,Science Fiction,,,3.4,10233
In Too Deep,14026509,14026509,,7000000,25/08/1999,1999,0,R,,Gramercy,Original Screenplay,Drama,Contemporary Fiction,,36,5.5,2529
Stiff Upper Lips,69582,69582,,5700000,27/08/1999,1999,0,,,Cowboy Pictures,,,,,29,6.1,543
The Astronaut's Wife,10672566,10672566,,34000000,27/08/1999,1999,0,R,,New Line,Original Screenplay,Thriller/Suspense,Science Fiction,,16,4.9,20259
A Dog of Flanders,2165637,2165637,,7000000,27/08/1999,1999,0,PG,,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,,17,5.9,482
Dudley Do-Right,9818792,9818792,,22000000,27/08/1999,1999,0,PG,,Universal,Based on TV,Comedy,Kids Fiction,Hugh Wilson,14,3.6,4628
The Muse,11614954,11614954,,15000000,27/08/1999,1999,0,PG-13,,October Films,Original Screenplay,Comedy,Contemporary Fiction,Albert Brooks,51,5.5,6507
The 13th Warrior,32698899,61698899,,125000000,27/08/1999,1999,0,R,103,Walt Disney Pictures,Based on Book/Short Story,Action,Fantasy,John McTiernan,33,6.3,36151
Chill Factor,11263966,11263966,,34000000,01/09/1999,1999,0,R,,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,,7,4.9,5374
Love Stinks,2793776,2793776,,4000000,10/09/1999,1999,0,R,,Independent Artists,Original Screenplay,Comedy,Contemporary Fiction,,19,5.3,3228
Stigmata,50041732,89441732,,32000000,10/09/1999,1999,0,R,103,MGM,Original Screenplay,Horror,Contemporary Fiction,Rupert Wainwright,22,6,29411
A Stir of Echoes,21133087,21133087,,12000000,10/09/1999,1999,0,R,110,Artisan,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,David Koepp,,7.1,26752
American Beauty,130058047,356258047,,15000000,15/09/1999,1999,0,R,118,Dreamworks SKG,Original Screenplay,Drama,Contemporary Fiction,Sam Mendes,89,8.6,292562
Breakfast of Champions,178287,178287,,12000000,17/09/1999,1999,0,R,,Walt Disney Pictures,Based on Book/Short Story,Comedy,,Alan Rudolph,25,4.3,5033
Blue Streak,68208190,117448157,,36000000,17/09/1999,1999,0,PG-13,95,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Les Mayfield,35,5.9,23545
For Love of the Game,35188640,46112640,,50000000,17/09/1999,1999,0,PG-13,137,Universal,Based on Book/Short Story,Drama,Contemporary Fiction,Sam Raimi,64,6.2,13612
Sugar Town,178095,178095,,250000,17/09/1999,1999,0,R,,October Films,,Comedy,,,67,5.6,566
Taxman,9871,9871,,3500000,17/09/1999,1999,0,,,,,Comedy,,,,6.8,520
One Man's Hero,229311,229311,,18000000,24/09/1999,1999,0,,,MGM,,,,,,5.7,627
Double Jeopardy,116735231,177835231,,40000000,24/09/1999,1999,0,R,105,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Bruce Beresford,25,6,28887
Jakob the Liar,4956401,4956401,,15000000,24/09/1999,1999,0,PG-13,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,,30,6.1,6636
Mumford,4559569,4559569,,28700000,24/09/1999,1999,0,R,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Lawrence Kasdan,55,6.7,6303
Three Kings,60652036,107752036,,48000000,01/10/1999,1999,0,R,115,Warner Bros.,Original Screenplay,Action,Historical Fiction,David O. Russell,94,7.3,68726
Drive Me Crazy,17843379,22591451,,8000000,01/10/1999,1999,0,PG-13,91,20th Century Fox,Based on Book/Short Story,Comedy,Contemporary Fiction,John Schultz,26,5.1,6968
The Adventures of Elmo in Grouchland,11634458,11634458,,17000000,01/10/1999,1999,0,G,,Sony Pictures,Based on TV,Comedy,Kids Fiction,,76,5.4,1059
"Happy, Texas",2039192,2039192,,1700000,01/10/1999,1999,0,PG-13,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,,82,7.5,198
"Mystery, Alaska",8891623,8891623,,28000000,01/10/1999,1999,0,R,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Jay Roach,37,5.5,1338
Naturally Native,10508,10508,,700000,08/10/1999,1999,0,PG-13,,,,,,,,6.8,91
Boys Don't Cry,11540607,20741000,,2000000,08/10/1999,1999,0,R,,Fox Searchlight,Original Screenplay,Drama,Dramatization,Kimberly Peirce,88,7.6,34435
Random Hearts,31054924,63200000,,64000000,08/10/1999,1999,0,R,133,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Sydney Pollack,15,4.8,11100
Superstar,30628981,30628981,,14000000,08/10/1999,1999,0,PG-13,82,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,,33,6,103
The Omega Code,12610552,12678312,,7200000,15/10/1999,1999,0,PG-13,,Providence Entertainment,Original Screenplay,Action,Fantasy,,8,3.3,3814
